site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAAFLB0003,FVC-PV,53.6,67.583,33.667,6.172,8.944,0.101,increasing,0.019,0.044845497,52.492,"['2021-12-01', '2017-10-01', '2016-01-31']","[0.964, 0.402, 0.391]","['2013-11-01', '2012-01-31', '2012-09-30']","[0.926, 0.722, 0.433]",SAAFLB0003,-34.97365,138.646998,FLB
SAAFLB0004,FVC-PV,48.545,62.333,36.75,6.022,9.292,0.08,no trend,0.015,0.112812877,46.725,"['2020-11-30', '2014-06-02', '2024-03-01']","[0.975, 0.918, 0.641]","['2017-05-02', '2014-06-02', '2016-09-30']","[0.998, 0.959, 0.684]",SAAFLB0004,-35.07034722,138.5786,FLB
SAAFLB0005,FVC-PV,36.71,53.5,5.917,8.44,10.625,0.055,no trend,0.013,0.277756535,36.217,"['2020-04-01', '2013-04-02', '2024-04-01']","[0.962, 0.887, 0.733]","['2013-08-01', '2016-11-30', '2017-08-01']","[0.986, 0.935, 0.742]",SAAFLB0005,-33.02676944,138.1032556,FLB
SAAFLB0006,FVC-PV,52.217,64.917,25.333,6.73,7.708,0.313,increasing,0.05,4.96E-10,48.8,"['2014-01-31', '2017-09-01', '2011-09-01']","[1.0, 0.998, 0.333]","['2011-01-31', '2013-01-31', '2020-07-31']","[0.53, 0.46, 0.182]",SAAFLB0006,-33.08573611,138.1626917,FLB
SAAFLB0007,FVC-PV,12.017,34,5.167,6.334,6.458,-0.151,decreasing,-0.018,0.002683146,11.354,"['2013-07-02', '2017-08-01', '2012-03-01']","[1.0, 1.0, 0.837]","['2011-01-31', '2017-05-02', '2013-04-02']","[0.997, 0.852, 0.828]",SAAFLB0007,-31.82368889,138.2997028,FLB
SAAFLB0008,FVC-PV,20.935,30.5,10.917,4.199,6.125,-0.059,no trend,-0.008,0.242906281,21.526,"['2018-03-02', '2020-10-31', '2022-10-01']","[0.864, 0.667, 0.618]","['2010-08-01', '2023-06-02', '2022-01-01']","[1.0, 0.667, 0.595]",SAAFLB0008,-31.83778611,138.3511917,FLB
SAAFLB0030,FVC-PV,3.062,11.833,0,2.224,1.75,-0.077,no trend,0,0.124681133,2,"['2022-01-01', '2022-09-01', '2012-09-30']","[1.0, 0.998, 0.395]","['2011-01-31', '2014-09-01', '2013-03-02']","[0.987, 0.8, 0.293]",SAAFLB0030,-29.97848333,138.0151194,FLB
SAAFLB0031,FVC-PV,2.765,9.833,0,1.935,1.875,0.087,no trend,0.002,0.083639824,1.8,"['2022-01-01', '2022-09-01', '2017-09-01']","[0.978, 0.755, 0.697]","['2011-01-31', '2016-11-30', '2013-01-31']","[0.967, 0.76, 0.26]",SAAFLB0031,-29.971575,137.9545667,FLB
SAAGAW0001,FVC-PV,21.615,33.833,9.333,4.899,6.375,-0.086,no trend,-0.013,0.086925499,22.627,"['2020-09-30', '2018-03-02', '2013-10-01']","[1.0, 1.0, 0.941]","['2011-01-01', '2011-09-01', '2015-07-02']","[0.935, 0.919, 0.042]",SAAGAW0001,-32.98324722,137.1972083,GAW
SAAGAW0002,FVC-PV,14.459,39.667,5.167,6.437,7.167,-0.178,decreasing,-0.029,0.000392871,15.58,"['2013-07-02', '2021-12-01', '2018-04-02']","[0.972, 0.957, 0.761]","['2012-11-30', '2011-01-01', '2018-10-01']","[0.965, 0.904, 0.378]",SAAGAW0002,-32.98011944,137.2442722,GAW
SAAGAW0003,FVC-PV,22.191,31.833,12,3.845,5.292,-0.051,no trend,-0.006,0.314599584,22.363,"['2018-10-01', '2021-06-02', '2012-05-01']","[0.986, 0.956, 0.947]","['2020-06-01', '2022-07-02', '2021-01-31']","[0.898, 0.89, 0.836]",SAAGAW0003,-32.97155,137.2483611,GAW
SAAGAW0004,FVC-PV,10.23,18,3.167,2.533,2.958,0.351,increasing,0.025,2.93E-12,7.866,"['2021-11-01', '2016-01-01', '2023-01-31']","[0.993, 0.979, 0.852]","['2021-01-31', '2017-10-01', '2013-01-31']","[0.701, 0.68, 0.462]",SAAGAW0004,-30.87168877,135.4403808,GAW
