site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SATFLB0012,FVC-PV,44.453,53.25,35.833,4.052,5.757,0.231,increasing,0.029,4.33E-06,41.909,"['2011-08-01', '2016-01-31', '2022-11-01']","[1.0, 0.967, 0.345]","['2023-03-02', '2020-03-01', '2020-10-31']","[0.163, 0.135, 0.081]",SATFLB0012,-34.88076551,138.7082603,FLB
SATFLB0013,FVC-PV,50.822,64.75,39.667,4.973,6.771,-0.165,decreasing,-0.024,0.001051911,52.271,"['2017-12-01', '2013-10-01', '2021-10-01']","[0.996, 0.982, 0.557]","['2015-04-02', '2012-10-31', '2012-04-01']","[0.805, 0.715, 0.696]",SATFLB0013,-33.9141962,138.6038099,FLB
SATFLB0014,FVC-PV,41.132,53.167,27.917,5.119,6.75,-0.091,no trend,-0.014,0.06929566,42.976,"['2013-07-02', '2018-04-02', '2012-01-01']","[0.989, 0.589, 0.447]","['2011-04-02', '2020-05-01', '2024-05-01']","[0.643, 0.557, 0.277]",SATFLB0014,-34.00513798,138.9593701,FLB
SATFLB0015,FVC-PV,59.808,75,38.333,6.163,7.062,0.05,no trend,0.009,0.324952094,59.148,"['2023-10-01', '2016-04-01', '2018-10-01']","[0.985, 0.958, 0.35]","['2012-11-30', '2012-04-01', '2021-01-31']","[0.679, 0.677, 0.265]",SATFLB0015,-34.93342691,138.7269537,FLB
SATFLB0016,FVC-PV,15.037,29.417,2,7.039,9.875,-0.509,decreasing,-0.104,0,25.577,"['2023-01-01', '2018-08-01', '2022-01-01']","[1.0, 0.988, 0.542]","['2021-06-02', '2011-07-02', '2022-07-02']","[0.946, 0.723, 0.505]",SATFLB0016,-30.343475,139.3396917,FLB
SATFLB0017,FVC-PV,9.346,32.417,1.833,6.434,9.167,-0.374,decreasing,-0.06,1.09E-13,13.501,"['2017-08-01', '2010-08-01', '2011-12-01']","[0.648, 0.563, 0.521]","['2022-09-01', '2012-07-01', '2014-08-01']","[0.564, 0.466, 0.438]",SATFLB0017,-30.33181111,139.3736722,FLB
SATFLB0018,FVC-PV,12.294,26,2,6.102,9.667,-0.344,decreasing,-0.062,8.42E-12,16.882,"['2018-01-31', '2022-01-01', '2023-01-31']","[0.995, 0.726, 0.664]","['2011-04-02', '2016-03-01', '2017-03-02']","[0.633, 0.413, 0.379]",SATFLB0018,-30.21904444,139.3241306,FLB
SATFLB0019,FVC-PV,9.741,30.833,1.667,6.755,10.5,-0.318,decreasing,-0.057,2.67E-10,12.886,"['2017-12-01', '2012-08-31', '2021-11-01']","[0.992, 0.987, 0.979]","['2022-09-01', '2010-08-01', '2016-03-01']","[0.734, 0.713, 0.2]",SATFLB0019,-30.21953056,139.2328694,FLB
SATFLB0020,FVC-PV,20.122,33.5,10.667,5.031,7.208,-0.278,decreasing,-0.041,3.31E-08,23.296,"['2016-10-31', '2020-09-30', '2022-01-01']","[1.0, 0.985, 0.647]","['2010-08-01', '2011-05-02', '2022-08-01']","[0.67, 0.613, 0.377]",SATFLB0020,-30.25567778,139.2272333,FLB
SATFLB0021,FVC-PV,17.603,36.833,1.917,9.108,15.083,-0.482,decreasing,-0.126,0,30.086,"['2022-01-01', '2018-09-01', '2011-10-01']","[0.999, 0.878, 0.655]","['2024-05-01', '2018-04-02', '2010-11-01']","[0.675, 0.474, 0.371]",SATFLB0021,-30.41211111,139.2199417,FLB
SATFLB0022,FVC-PV,20.839,40.083,4.333,8.568,13.292,-0.54,decreasing,-0.128,0,33.14,"['2023-10-01', '2019-01-31', '2012-08-31']","[0.997, 0.862, 0.776]","['2022-07-02', '2021-06-02', '2020-06-01']","[0.988, 0.601, 0.337]",SATFLB0022,-30.40600556,139.2260583,FLB
SATFLB0023,FVC-PV,10.877,24.333,2,5.795,8.542,-0.32,decreasing,-0.055,2.17E-10,15.461,"['2018-04-02', '2022-01-01', '2014-12-01']","[0.977, 0.795, 0.74]","['2018-10-01', '2022-07-02', '2012-06-01']","[0.853, 0.394, 0.319]",SATFLB0023,-30.59943611,139.0736139,FLB
SATFLB0024,FVC-PV,9.993,20.083,4.5,3.474,4.938,-0.348,decreasing,-0.032,4.61E-12,11.898,"['2017-08-01', '2016-05-01', '2011-05-02']","[0.981, 0.905, 0.51]","['2011-01-31', '2017-11-01', '2013-01-01']","[0.995, 0.868, 0.799]",SATFLB0024,-30.760856,138.579558,FLB
SATFLB0025,FVC-PV,17.717,26.667,9.5,3.772,5.167,-0.304,decreasing,-0.033,1.57E-09,19.967,"['2020-10-31', '2015-11-01', '2018-03-02']","[0.673, 0.654, 0.333]","['2010-08-01', '2021-11-01', '2015-04-02']","[0.55, 0.409, 0.18]",SATFLB0025,-30.78501389,138.6329361,FLB
SATFLB0026,FVC-PV,60.684,76,51.083,4.337,5.875,0.346,increasing,0.041,6.22E-12,56.521,"['2016-11-30', '2022-11-01', '2023-09-01']","[0.997, 0.994, 0.247]","['2015-11-01', '2010-10-01', '2014-09-01']","[0.894, 0.704, 0.658]",SATFLB0026,-34.88775556,138.78705,FLB
SATFLB0027,FVC-PV,56.531,84.667,30.167,7.713,7.5,-0.014,no trend,-0.002,0.781795411,57.609,"['2021-01-01', '2022-04-02', '2023-09-01']","[1.0, 1.0, 0.948]","['2021-01-01', '2024-01-31', '2023-01-31']","[0.876, 0.67, 0.534]",SATFLB0027,-35.08308056,138.6790056,FLB
SATFLB0028,FVC-PV,36.438,61.333,16.167,12.16,21.333,0.041,no trend,0.014,0.420998884,33.264,"['2023-10-01', '2017-07-02', '2021-09-01']","[0.976, 0.801, 0.776]","['2011-01-01', '2011-11-01', '2022-04-02']","[0.937, 0.677, 0.551]",SATFLB0028,-33.55308333,138.3932722,FLB
SATKAN0001,FVC-PV,66.454,81.583,49.833,4.94,5.542,0.087,no trend,0.011,0.084447117,65.348,"['2020-11-30', '2017-01-31', '2018-10-01']","[0.967, 0.945, 0.851]","['2019-09-01', '2018-09-01', '2012-01-31']","[0.993, 0.771, 0.129]",SATKAN0001,-35.60826944,138.261275,KAN
SATKAN0002,FVC-PV,64.264,78,41,5.996,8.042,0.084,no trend,0.013,0.096286716,62.32,"['2016-01-31', '2023-10-01', '2015-01-31']","[0.783, 0.555, 0.428]","['2016-04-01', '2014-06-02', '2012-03-01']","[0.523, 0.52, 0.486]",SATKAN0002,-35.27211111,138.690175,KAN
SATKAN0003,FVC-PV,59.828,73.833,42.333,6.197,7.354,0.133,increasing,0.023,0.008172524,57.856,"['2010-12-01', '2022-10-01', '2024-04-01']","[0.804, 0.569, 0.327]","['2013-03-02', '2013-10-01', '2011-07-02']","[0.855, 0.797, 0.753]",SATKAN0003,-35.46094167,138.6040389,KAN
SATKAN0004,FVC-PV,46.263,58.833,33,6.088,9.583,0.042,no trend,0.007,0.40814632,45.791,"['2017-05-02', '2016-09-30', '2021-07-02']","[0.968, 0.96, 0.552]","['2010-09-01', '2023-03-02', '2020-11-30']","[0.976, 0.878, 0.824]",SATKAN0004,-34.92716667,139.0381472,KAN
SATSTP0001,FVC-PV,5.569,29.167,0,5.626,4.958,-0.166,decreasing,-0.012,0.00090899,4.118,"['2022-01-01', '2023-01-01', '2011-12-01']","[0.685, 0.659, 0.586]","['2010-08-01', '2013-03-02', '2022-01-01']","[0.626, 0.551, 0.33]",SATSTP0001,-30.56166389,139.4363139,STP
SATSTP0002,FVC-PV,9.623,20.667,5.417,2.934,3.542,-0.169,decreasing,-0.013,0.000811183,10.131,"['2011-11-01', '2017-10-01', '2021-11-01']","[0.994, 0.983, 0.95]","['2011-07-02', '2022-08-01', '2022-01-01']","[1.0, 0.991, 0.986]",SATSTP0002,-30.65632778,139.5473556,STP
SATSTP0003,FVC-PV,2.826,11.333,0,2.224,2.292,0.046,no trend,0.001,0.365103068,1.901,"['2022-01-01', '2011-06-02', '2022-09-01']","[1.0, 0.857, 0.406]","['2016-07-31', '2017-04-02', '2011-01-01']","[0.593, 0.575, 0.503]",SATSTP0003,-29.75528333,138.8491778,STP
SATSTP0004,FVC-PV,11.071,42.583,0.667,10.114,13.667,-0.387,decreasing,-0.096,1.40E-14,18.141,"['2017-09-01', '2013-01-01', '2022-01-01']","[0.966, 0.665, 0.457]","['2010-09-01', '2022-10-01', '2012-08-31']","[0.671, 0.561, 0.446]",SATSTP0004,-29.79146944,138.8318556,STP
SATSTP0005,FVC-PV,8.922,20.583,2.667,3.633,4.667,-0.184,decreasing,-0.019,0.000259071,9.943,"['2017-12-01', '2015-07-02', '2011-09-01']","[0.953, 0.943, 0.912]","['2022-09-01', '2011-05-02', '2021-06-02']","[0.998, 0.671, 0.037]",SATSTP0005,-29.45659722,138.8487972,STP
SATSTP0006,FVC-PV,16.414,50,1.75,10.845,12.25,-0.234,decreasing,-0.063,3.26E-06,19.413,"['2018-11-01', '2022-03-02', '2022-12-01']","[0.832, 0.67, 0.665]","['2010-08-01', '2012-07-01', '2014-05-02']","[0.678, 0.64, 0.38]",SATSTP0006,-29.5305,138.8167,STP
SATSTP0007,FVC-PV,23.699,72.25,1.667,18.163,24.458,-0.374,decreasing,-0.16,1.05E-13,31.448,"['2017-01-01', '2017-09-01', '2013-01-01']","[1.0, 1.0, 1.0]","['2015-10-01', '2012-04-01', '2014-06-02']","[0.976, 0.325, 0.217]",SATSTP0007,-29.53599751,138.8171068,STP
SATSTP0008,FVC-PV,4.811,25.667,0,4.79,5.25,-0.01,no trend,0,0.836721599,2.333,"['2022-01-31', '2022-09-01', '2012-08-31']","[0.672, 0.667, 0.445]","['2016-11-30', '2022-01-31', '2011-04-02']","[0.665, 0.342, 0.335]",SATSTP0008,-29.38785704,138.8813785,STP
